Longitude,Latitude,UHI Index,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],Heat Index (C),Wind_Cooling_Effect,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,NDBI,NDWI,NDTI,EVI,Albedo
-73.90916667,40.81310667,1.030288903,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,1042.0,1036.0,1036.0,1272.0,1502.0,1605.0,1906.0,1638.0,1487.0,1265.0,0.2957171991842284,-0.12348953728264073,-0.2957171991842284,0.0806686046511628,7.061688311688313,1328.0
-73.90918667,40.813045,1.030288903,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,1042.0,1036.0,1036.0,1272.0,1502.0,1605.0,1906.0,1638.0,1487.0,1265.0,0.2957171991842284,-0.12348953728264073,-0.2957171991842284,0.0806686046511628,7.061688311688313,1328.0
-73.909215,40.81297833,1.023797758,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,583.0,818.0,709.0,1054.0,1668.0,2097.0,2190.0,2149.0,1465.0,991.0,0.5108658157985512,-0.19835841313269495,-0.45611702127659576,0.19299674267100977,1.7864897466827503,1160.6666666666667
-73.90924167,40.81290833,1.023797758,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,581.0,733.0,657.0,1054.0,1668.0,2097.0,2182.0,2149.0,1465.0,991.0,0.5371609721733005,-0.19659994516040583,-0.49708404802744427,0.19299674267100977,2.157001414427157,1140.0
-73.90925667,40.812845,1.021634043,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,655.0,744.0,745.0,1021.0,1728.0,1943.0,2112.0,2056.0,1544.0,1134.0,0.4784739236961848,-0.15536105032822758,-0.4789915966386555,0.1530993278566094,2.045794672253816,1170.6666666666667
-73.90928,40.81277667,1.021634043,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,655.0,744.0,745.0,1021.0,1728.0,1943.0,2112.0,2056.0,1544.0,1134.0,0.4784739236961848,-0.15536105032822758,-0.4789915966386555,0.1530993278566094,2.045794672253816,1170.6666666666667
-73.90931167,40.81271,1.015142899,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,846.0,677.0,783.0,767.0,1021.0,1728.0,1943.0,2354.0,2056.0,1544.0,1134.0,0.5084908683114386,-0.2077988712160082,-0.5007969397513548,0.1530993278566094,2.110933758978452,1266.0
-73.90934,40.81264333,1.015142899,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,1152.0,706.0,825.0,851.0,1298.0,1769.0,2216.0,2216.0,2152.0,1823.0,1366.0,0.4450603195304858,-0.09730131220599159,-0.45741532390660966,0.14330511132016305,1.682692307692308,1257.6666666666667
-73.90936333,40.81256167,1.012979184,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,1152.0,703.0,852.0,835.0,1298.0,1769.0,2216.0,2072.0,2152.0,1823.0,1366.0,0.4255245958032336,-0.06392811296534018,-0.4172366621067031,0.14330511132016305,1.7080916873791772,1203.3333333333333
-73.90938333,40.812485,1.012979184,27.2,47.3,2.6,165,621,27.434995851133188,0.4383057974588334,1152.0,714.0,874.0,766.0,1316.0,1460.0,1844.0,2114.0,1658.0,1870.0,1377.0,0.46805555555555556,-0.06124497991967871,-0.4149933065595716,0.1518324607329843,2.4852507374631267,1198.0
