Longitude,Latitude,UHI Index,HEIGHTROOF,GROUNDELEV,distance_to_building,geometry,building_density_100m,building_density_250m,building_density_400m,building_density_750m,mean_bldg_height_100m,max_bldg_height_100m,mean_bldg_height_250m,max_bldg_height_250m,mean_bldg_height_400m,max_bldg_height_400m,mean_bldg_height_750m,max_bldg_height_750m,BCR_100m,BCR_250m,BCR_400m,BCR_750m
-73.90916667,40.81310667,1.030288903,65.1,34.0,93.01868702183172,POINT (-73.90916667 40.81310667000001),5,10,15,53,65.1,65.1,72.870384399,189.39384399,63.988922932666675,189.39384399,42.27531083320754,189.39384399,0.01036096256684492,0.0037112495237585945,0.0019095242949253568,0.001267912443290043
-73.90918667,40.813045,1.030288903,65.1,34.0,83.53126342274993,POINT (-73.90918667 40.813045),5,11,17,54,65.1,65.1,70.75216763545455,189.39384399,60.00140258764705,189.39384399,42.130397669629616,189.39384399,0.01036096256684492,0.003963706870333588,0.002029268215220747,0.0012874071098435329
-73.909215,40.81297833,1.023797758,65.1,34.0,81.62747689061706,POINT (-73.909215 40.812978329999986),6,12,18,53,65.10000000000001,65.1,68.87698699916668,189.39384399,58.31354688833332,189.39384399,42.37983913509433,189.39384399,0.012433155080213905,0.004209441527832951,0.002088195195103609,0.0012710474346603285
-73.90924167,40.81290833,1.023797758,65.1,34.0,87.10132682866106,POINT (-73.90924167 40.81290832999999),7,12,20,52,82.85626342714285,189.39384399,68.87698699916668,189.39384399,55.44419219949998,189.39384399,42.63887450307691,189.39384399,0.018461734275210084,0.004209441527832951,0.0022060491548693334,0.001254687759477124
-73.90925667,40.812845,1.021634043,65.1,34.0,95.76406972085348,POINT (-73.90925667 40.81284500000002),8,13,21,52,78.69548049874999,189.39384399,67.51183415307693,189.39384399,54.17256399952379,189.39384399,43.23252834923077,189.39384399,0.02003959269130379,0.0044698438705882354,0.0022632254344720835,0.001272156565181224
-73.90928,40.81277667,1.021634043,65.1,34.0,111.77826956814394,POINT (-73.90928 40.81277666999999),7,14,22,52,78.41912057,189.39384399,66.37598885642858,189.39384399,53.0165383631818,189.39384399,43.34387450307693,189.39384399,0.017473066080659537,0.00473269082755284,0.0023204017140748337,0.0012754330272812158
-73.90931167,40.81271,1.015142899,189.39384399,33.0,129.6244233450182,POINT (-73.90931167 40.812709999999996),7,15,24,53,76.20054914142858,189.39384399,63.988922932666675,189.39384399,50.99349349958333,189.39384399,43.180782531320766,189.39384399,0.016978731983384263,0.004888382195008913,0.0024347542732803345,0.001295069164564412
-73.90934,40.81264333,1.015142899,49.57,31.0,116.67751915305512,POINT (-73.90934 40.81264333000001),7,17,25,53,73.98197771285713,189.39384399,60.00140258764705,189.39384399,50.1033537596,189.39384399,42.63568819169812,189.39384399,0.016484397886108986,0.0051949266309651125,0.0024919305528830846,0.0012787208070395837
-73.90936333,40.81256167,1.012979184,49.57,31.0,96.1351356792982,POINT (-73.90936333 40.81256167),7,19,26,54,71.57483485571429,189.39384399,56.80336020999999,189.39384399,49.580917076538455,189.39384399,41.95373100296296,189.39384399,0.015948046982111025,0.005496632767965366,0.0025645846145077346,0.0012820085867979514
-73.90938333,40.812485,1.012979184,49.57,31.0,82.16547327420535,POINT (-73.90938333 40.81248500000001),7,20,27,57,69.57912057,189.39384399,55.44419219949998,189.39384399,49.09717940703703,189.39384399,41.44998124157895,189.39384399,0.015503369110962565,0.005647485836465493,0.0026372386761323845,0.0013369826731007557
-73.90939333,40.81240333,1.010815469,49.57,31.0,73.61990559341845,POINT (-73.90939333 40.81240333),7,21,28,59,49.89571428571429,51.61,52.44113542809524,189.39384399,48.64799442821428,189.39384399,40.26434554881356,189.39384399,0.011117583396995163,0.005608677585892539,0.0027098927377570345,0.0013443094176385706
-73.90942,40.81233,1.010815469,48.25,33.0,74.11392885355856,POINT (-73.90942000000001 40.81233000000002),7,21,29,62,47.18142857142857,51.61,50.70970685666667,189.39384399,48.229787723793095,189.39384399,38.69832882870966,189.39384399,0.01051279602750191,0.005423498059536542,0.002782546799381684,0.001357720842814701
